id,usia,jenis_kelamin,status,pss_fam_1,pss_fam_2,pss_fam_3,pss_fam_4,pss_fri_1,pss_fri_2,pss_fri_3,pss_fri_4,pss_so_1,pss_so_2,pss_so_3,pss_so_4
391,24,0,menikah,1,1,2,2,6,2,5,5,6,6,6,3
392,25,1,menikah,7,4,6,6,5,7,5,5,4,2,4,4
393,32,0,belum menikah,2,6,2,3,3,4,6,4,6,6,4,5
394,35,0,belum menikah,6,5,7,5,5,5,7,7,7,6,7,5
395,30,0,belum menikah,2,2,2,3,2,2,2,1,4,3,3,5
396,25,0,belum menikah,3,4,4,1,1,1,2,1,2,4,2,3
397,24,1,menikah,1,3,2,3,2,3,3,3,1,1,2,1
398,37,1,belum menikah,6,7,6,7,6,6,6,7,7,6,7,6
399,18,1,menikah,4,6,3,6,6,4,6,4,7,7,7,7
400,26,1,belum menikah,3,4,3,4,7,6,4,7,6,5,5,5
401,31,1,belum menikah,3,2,2,2,2,3,1,3,2,3,2,2
402,25,1,menikah,6,5,2,7,4,4,3,4,5,6,5,6
403,18,0,menikah,6,6,5,3,2,2,3,1,5,6,5,4
404,25,0,menikah,6,7,6,6,6,6,5,6,3,6,4,6
405,31,1,belum menikah,5,4,4,2,4,3,4,3,3,4,3,5
406,24,1,belum menikah,1,1,3,4,1,1,1,2,1,1,1,3
407,20,1,belum menikah,5,7,6,5,4,6,5,7,2,5,6,6
408,28,1,belum menikah,1,1,3,2,4,5,4,4,1,1,2,3
409,27,1,belum menikah,6,4,4,4,3,2,2,3,6,2,4,5
410,39,0,belum menikah,7,2,4,3,6,7,7,6,6,7,6,7
411,29,1,menikah,3,5,5,4,1,1,1,1,2,1,3,4
412,19,1,menikah,6,7,6,4,6,3,4,6,4,2,4,5
413,36,1,belum menikah,7,5,5,5,4,2,3,3,7,4,2,6
414,38,0,belum menikah,5,4,6,3,2,5,1,2,7,7,6,7
415,35,1,belum menikah,6,5,6,4,4,4,3,2,3,3,2,1
416,33,1,bercerai,5,6,5,4,5,4,2,4,3,2,4,3
417,29,1,belum menikah,1,1,3,1,1,1,2,2,2,2,5,3
418,21,0,menikah,6,6,7,6,5,5,6,5,6,6,6,6
419,34,0,menikah,5,5,7,5,1,2,2,2,3,2,4,2
420,37,1,belum menikah,1,2,1,3,5,5,6,4,1,2,3,2
421,31,1,belum menikah,1,2,1,1,2,5,3,2,1,1,1,2
422,23,1,belum menikah,2,3,5,4,5,2,1,1,1,2,1,1
423,32,1,belum menikah,3,5,6,5,6,7,6,4,7,7,6,7
424,19,1,belum menikah,1,1,1,1,1,3,1,3,1,5,3,3
425,20,1,menikah,3,1,1,3,4,4,4,5,2,1,1,2
426,29,1,menikah,2,2,3,4,1,1,1,1,4,5,3,4
427,21,1,belum menikah,1,6,2,2,7,2,6,5,1,3,1,1
428,34,0,belum menikah,5,7,5,6,4,6,4,4,1,2,1,1
429,22,0,menikah,7,5,6,6,3,2,2,5,2,1,5,1
430,29,1,belum menikah,3,3,2,4,2,4,2,2,2,1,3,2
431,34,1,belum menikah,6,3,4,4,5,3,5,5,2,3,5,3
432,24,0,belum menikah,6,7,7,6,7,7,7,4,6,4,5,6
433,18,0,belum menikah,1,1,1,1,1,2,3,3,3,1,1,1
434,37,1,belum menikah,5,6,4,5,3,2,2,2,4,7,6,6
435,37,1,menikah,2,2,2,6,6,4,6,2,3,4,4,4
436,23,1,belum menikah,6,6,4,6,7,6,2,4,7,2,4,2
437,19,1,belum menikah,2,2,4,2,6,6,6,7,6,7,6,7
438,39,1,menikah,6,7,5,7,2,6,5,6,4,6,6,7
439,19,1,belum menikah,5,5,2,5,6,5,4,3,7,5,4,5
440,29,1,belum menikah,7,6,6,4,7,6,7,5,6,5,6,7
441,31,1,menikah,2,3,4,2,5,5,6,1,3,6,5,2
442,34,0,belum menikah,7,7,7,6,7,7,7,6,4,6,5,7
443,18,1,menikah,3,1,3,3,4,4,3,4,5,4,4,4
444,33,0,belum menikah,5,6,7,5,6,6,6,7,6,5,3,6
445,20,0,menikah,1,1,2,3,1,3,2,2,2,1,4,2
446,25,1,menikah,7,3,7,5,6,7,6,5,7,7,7,7
447,25,0,belum menikah,2,5,1,1,2,5,2,5,3,6,4,6
448,18,1,menikah,2,2,2,5,4,6,3,6,5,3,6,2
449,20,1,menikah,1,2,4,2,4,6,5,5,1,1,1,1
450,27,1,belum menikah,4,6,5,7,4,5,4,2,4,3,2,6
451,37,1,belum menikah,3,5,5,1,1,1,3,1,5,3,3,2
452,39,0,menikah,4,1,4,4,1,1,1,1,3,1,2,5
453,21,1,belum menikah,4,1,3,1,1,1,1,2,5,6,5,4
454,26,1,belum menikah,5,7,7,7,5,6,4,6,4,3,5,3
455,27,1,menikah,6,4,3,4,1,2,1,1,2,2,1,1
456,39,0,belum menikah,3,3,1,2,2,6,5,4,6,7,7,5
457,27,0,belum menikah,2,5,4,2,3,5,6,4,2,3,4,4
458,33,0,menikah,5,3,3,3,6,6,5,6,7,7,6,6
459,26,0,menikah,4,3,4,1,2,2,2,5,3,2,2,5
460,30,0,belum menikah,5,6,6,5,4,4,2,3,6,7,6,6
461,36,1,belum menikah,1,2,3,2,1,2,1,5,2,2,2,2
462,28,1,belum menikah,5,6,7,4,3,2,6,3,2,4,5,2
463,39,0,belum menikah,4,6,5,6,7,7,7,7,7,7,7,7
464,28,1,belum menikah,6,1,3,2,4,5,1,3,6,7,7,6
465,26,1,belum menikah,4,3,5,5,1,2,1,2,6,6,3,3
466,20,1,belum menikah,6,5,4,2,3,1,5,6,5,5,6,4
467,24,0,belum menikah,5,5,6,4,1,2,6,5,4,7,7,7
468,25,1,belum menikah,1,1,2,3,3,2,2,2,4,2,1,3
469,29,1,belum menikah,4,6,7,7,5,4,6,1,6,7,7,5
470,33,1,menikah,5,3,3,6,4,6,6,5,6,7,6,6
471,29,0,belum menikah,4,6,6,3,5,5,5,7,6,6,4,4
472,25,1,belum menikah,6,7,7,3,7,6,7,6,3,5,4,3
473,26,0,menikah,4,1,4,2,4,2,7,3,3,3,4,5
474,21,0,belum menikah,5,5,3,7,5,1,2,5,2,3,4,3
475,39,1,menikah,6,6,3,5,7,7,6,7,2,5,7,7
476,24,1,belum menikah,1,1,6,1,1,2,3,1,3,1,1,1
477,38,1,belum menikah,6,6,2,4,2,1,4,1,1,1,1,1
478,35,1,belum menikah,5,6,7,6,3,5,2,4,5,6,7,4
479,22,1,menikah,2,4,3,5,3,3,2,4,4,2,5,4
480,27,0,menikah,4,2,5,1,1,1,1,1,1,3,2,4
481,31,1,belum menikah,4,4,6,6,4,5,3,6,6,3,2,4
482,30,1,belum menikah,6,6,7,4,7,7,7,4,7,5,4,7
483,18,1,belum menikah,2,2,2,2,4,2,3,4,2,1,5,4
484,19,1,belum menikah,6,7,6,5,7,5,6,3,6,6,3,6
485,21,1,belum menikah,1,2,2,1,1,1,1,1,6,2,3,2
486,22,1,belum menikah,2,2,2,1,2,5,5,4,1,5,4,5
487,30,0,menikah,3,5,4,3,4,3,4,3,6,6,4,6
488,37,1,belum menikah,3,3,5,2,5,4,4,6,3,6,6,2
489,38,0,belum menikah,7,7,7,5,7,6,6,5,5,7,7,7
490,29,1,belum menikah,5,5,5,4,2,2,1,1,5,1,4,4
491,22,1,belum menikah,7,7,6,7,1,3,1,3,6,6,6,2
492,26,1,belum menikah,2,4,6,3,5,6,6,5,7,7,7,7
493,35,1,belum menikah,3,2,3,3,5,2,4,5,6,6,1,1
494,29,1,belum menikah,6,5,1,5,3,4,2,1,4,5,4,3
495,39,0,menikah,5,3,3,5,1,2,2,1,6,6,5,3
496,38,1,menikah,1,1,2,2,2,1,2,2,2,5,2,3
497,24,1,belum menikah,6,6,6,5,5,4,3,5,1,2,6,3
498,30,1,menikah,2,5,5,5,3,4,5,6,2,5,1,4
499,21,0,menikah,3,4,3,2,3,4,3,4,3,2,3,1
500,19,1,belum menikah,1,2,1,2,3,3,2,2,2,2,1,1
501,21,0,menikah,7,6,7,6,6,7,6,7,7,7,7,7
502,36,1,menikah,7,5,6,6,7,6,4,7,6,7,4,7
503,18,0,belum menikah,2,2,4,4,2,6,3,2,1,1,3,2
504,31,1,menikah,2,5,2,4,7,7,4,5,4,5,3,6
505,27,1,bercerai,5,7,3,3,4,6,4,4,2,3,2,2
506,39,0,menikah,4,6,6,7,6,6,6,7,6,7,5,7
507,30,1,belum menikah,1,2,1,1,2,3,2,5,7,4,5,1
508,35,1,belum menikah,6,6,4,4,4,6,6,5,5,6,7,4
509,22,0,belum menikah,1,1,3,2,1,1,1,5,2,4,1,3
510,22,1,bercerai,7,4,5,6,5,4,7,5,6,7,6,6
511,18,0,belum menikah,4,5,6,6,5,5,3,4,5,6,6,5
512,36,1,belum menikah,2,1,1,1,1,2,3,5,1,3,1,5
513,34,0,belum menikah,3,2,3,2,3,3,3,1,3,4,2,3
514,21,0,belum menikah,2,1,1,2,2,1,6,2,1,1,1,2
515,20,1,belum menikah,7,6,3,5,1,1,3,1,3,1,1,2
516,32,1,belum menikah,7,7,5,7,7,7,7,6,7,7,7,7
517,32,1,belum menikah,5,4,3,4,4,1,1,2,4,4,3,4
518,35,0,menikah,7,6,6,7,2,3,1,4,2,2,1,1
519,37,1,belum menikah,1,1,1,1,1,1,1,1,1,1,1,2
520,19,0,menikah,5,4,7,6,6,6,7,7,6,7,7,5
521,39,0,belum menikah,4,3,4,1,1,2,1,2,1,1,1,2
522,32,1,menikah,3,5,6,1,2,3,3,2,1,1,2,2
523,23,1,menikah,6,6,4,7,6,6,6,5,6,6,5,5
524,28,0,menikah,3,5,6,2,2,5,2,2,3,3,6,6
525,31,1,menikah,4,3,3,5,3,1,3,1,5,5,7,5
526,37,0,belum menikah,5,2,1,2,1,1,2,2,1,2,1,1
527,30,0,menikah,6,2,3,3,4,7,5,5,5,7,7,5
528,38,1,menikah,3,6,3,7,1,2,1,6,4,3,3,6
529,22,1,belum menikah,6,6,3,7,3,5,4,5,5,2,3,6
530,20,0,belum menikah,4,3,6,4,6,7,4,7,6,7,7,7
531,38,1,menikah,6,5,6,7,6,7,7,7,6,7,7,7
532,18,1,belum menikah,6,6,7,3,7,7,7,7,6,4,5,6
533,20,1,belum menikah,3,1,2,1,4,4,4,6,1,2,2,3
534,28,0,belum menikah,7,7,6,3,1,1,2,2,7,4,2,6
535,23,1,belum menikah,4,3,6,5,3,4,6,2,2,3,2,4
536,36,0,belum menikah,7,4,6,3,5,5,4,4,2,2,4,6
537,35,1,belum menikah,3,3,6,4,6,5,5,2,5,3,5,4
538,18,1,belum menikah,2,1,1,2,3,2,1,1,3,2,1,2
539,22,1,menikah,3,1,4,3,7,3,7,6,3,4,5,4
540,39,0,belum menikah,3,4,1,6,2,1,2,3,4,3,6,6
541,38,0,belum menikah,3,3,4,5,5,7,7,7,4,6,5,3
542,26,1,belum menikah,4,1,3,1,4,2,7,3,5,4,2,3
543,25,1,belum menikah,7,7,3,6,7,7,6,6,7,3,2,5
544,20,0,belum menikah,1,4,3,6,4,4,2,4,7,4,5,5
545,34,1,menikah,1,1,1,2,5,3,5,3,1,4,2,1
546,26,1,menikah,4,5,5,7,5,5,4,6,3,5,5,3
547,33,1,belum menikah,1,1,2,1,2,2,1,2,1,2,1,1
548,39,1,menikah,1,1,1,1,7,4,4,4,3,4,5,5
549,24,1,menikah,3,3,3,3,7,5,4,7,4,3,2,2
550,38,1,menikah,4,4,2,2,6,6,5,6,7,7,5,7
551,31,1,menikah,3,2,2,2,3,4,2,2,6,3,3,4
552,33,1,menikah,2,4,7,3,3,2,5,4,3,2,1,4
553,36,0,menikah,3,2,4,7,3,7,6,6,5,5,7,5
554,26,1,belum menikah,5,3,4,4,3,6,4,6,2,4,3,4
555,21,0,belum menikah,7,4,6,4,5,7,3,4,3,2,4,3
556,21,1,menikah,2,1,1,1,5,5,4,6,5,3,1,5
557,18,1,belum menikah,5,6,3,6,6,4,7,3,5,6,5,6
558,25,0,belum menikah,6,7,5,6,1,4,1,5,4,4,6,6
559,31,0,belum menikah,4,1,4,3,4,1,5,4,2,4,1,1
560,19,1,menikah,5,4,5,6,7,4,6,2,4,3,1,4
561,37,1,menikah,4,3,5,6,6,6,5,5,7,6,4,7
562,23,0,belum menikah,4,3,4,2,1,3,4,3,6,7,6,7
563,18,1,belum menikah,7,7,7,7,4,5,7,4,2,1,4,1
564,39,1,menikah,7,6,7,7,4,6,7,6,3,2,7,5
565,34,0,menikah,2,3,5,2,2,4,3,2,4,4,2,4
566,32,1,belum menikah,5,5,2,6,2,2,2,1,1,4,2,2
567,20,1,belum menikah,1,1,1,1,2,1,3,2,2,2,3,4
568,19,0,menikah,2,2,3,4,2,2,4,4,1,3,3,2
569,20,1,belum menikah,4,5,3,3,7,5,1,3,4,4,3,2
570,19,1,belum menikah,6,6,6,6,7,7,7,7,4,6,3,5
571,32,0,menikah,3,3,4,3,4,3,6,3,5,6,4,4
572,31,0,belum menikah,4,4,2,6,2,3,2,4,4,3,4,3
573,36,1,belum menikah,5,5,4,3,4,3,3,4,2,4,4,4
574,29,0,belum menikah,4,4,1,4,5,2,2,4,2,1,3,1
575,32,1,belum menikah,6,7,5,7,2,4,4,1,5,6,6,4
576,21,0,menikah,4,5,5,5,5,6,4,3,2,3,4,2
577,31,1,belum menikah,3,3,2,2,4,4,4,2,4,2,2,2
578,18,1,belum menikah,5,2,7,6,2,2,5,2,2,2,4,3
579,35,1,belum menikah,5,2,2,1,3,4,2,5,3,2,2,4
580,38,1,menikah,4,5,5,5,6,6,3,6,2,2,5,3
581,20,0,belum menikah,5,6,5,6,3,3,5,5,3,3,2,4
582,18,1,menikah,5,6,5,5,4,4,3,4,5,7,7,7
583,35,0,belum menikah,2,1,2,2,1,1,1,1,1,2,2,2
584,31,1,belum menikah,4,4,5,3,2,5,5,3,5,4,7,4
585,39,1,menikah,2,2,2,1,2,1,4,3,1,1,1,2
586,34,0,belum menikah,7,7,6,7,4,7,6,6,3,5,4,2
587,32,1,menikah,7,5,5,7,7,7,6,7,6,6,5,7
588,33,0,belum menikah,2,1,3,2,1,2,2,1,2,1,2,2
589,26,1,belum menikah,3,4,1,3,2,1,4,4,1,1,1,2
590,26,1,menikah,3,3,5,3,3,3,5,2,6,6,5,4
591,24,0,belum menikah,3,3,5,5,2,1,1,1,2,1,1,2
592,22,1,menikah,7,6,5,4,6,3,2,5,4,5,4,7
593,33,0,belum menikah,3,4,5,5,4,4,4,6,4,2,4,6
594,37,1,belum menikah,1,3,5,4,2,1,1,1,3,4,4,3
595,34,0,belum menikah,5,4,6,6,2,3,5,3,3,1,5,2
596,19,1,menikah,5,6,6,7,7,7,7,7,7,7,7,7
597,29,0,belum menikah,1,1,2,1,7,6,7,6,6,3,1,2
598,33,1,belum menikah,6,3,5,5,3,6,3,6,1,4,2,5
599,22,1,bercerai,1,2,2,1,7,5,4,5,4,6,4,2
600,36,1,bercerai,1,1,2,1,3,1,2,2,6,5,6,5
