id,usia,jenis_kelamin,semester,ipk,ab_ee_1,ab_ee_2,ab_ee_3,ab_ee_4,ab_ee_5,ab_cy_1,ab_cy_2,ab_cy_3,ab_cy_4,ab_cy_5,ab_ef_1,ab_ef_2,ab_ef_3,ab_ef_4,ab_ef_5
327,20,1,1,3.31,4,3,3,4,4,1,2,4,5,2,4,3,4,4,5
328,24,0,3,3.4,3,4,5,4,2,4,5,5,4,2,1,1,2,1,2
329,34,1,2,2.39,5,4,3,5,4,4,5,5,5,3,2,4,2,5,3
330,35,0,3,3.9,5,4,4,5,2,2,4,1,4,1,5,4,2,4,5
331,21,1,4,3.7,3,4,5,4,4,4,4,4,5,3,1,2,4,4,1
332,20,1,4,3.69,1,1,3,1,1,1,1,2,1,2,3,4,5,4,3
333,25,0,2,3.44,3,5,2,5,3,1,3,1,3,1,3,2,2,2,4
334,26,0,3,3.08,1,1,2,1,1,4,2,3,1,1,5,2,2,5,5
335,25,1,2,3.08,4,3,5,4,5,5,5,5,5,4,1,1,1,1,1
336,30,0,1,3.08,4,3,2,5,5,1,2,1,2,2,2,2,1,2,3
337,20,1,3,3.49,2,3,2,2,1,2,3,2,3,3,5,5,5,5,3
338,26,1,3,3.42,3,1,2,1,1,3,4,2,4,2,4,5,4,3,4
339,34,0,1,3.76,4,1,4,3,3,1,1,1,1,1,4,5,5,4,4
340,24,1,4,3.29,1,1,1,1,1,3,1,1,1,1,5,5,5,5,5
341,31,0,4,3.77,2,1,3,3,3,3,3,3,2,1,4,2,2,2,3
342,24,1,2,3.59,1,1,1,2,2,2,4,2,3,3,4,5,5,5,3
343,26,0,3,3.69,3,1,2,2,1,2,3,3,2,3,1,1,1,1,1
344,20,1,2,3.8,2,3,2,2,4,1,1,1,1,1,5,5,3,2,4
345,34,1,3,3.61,4,2,4,3,2,5,5,5,4,5,1,1,1,1,2
346,29,1,4,3.62,2,3,1,3,3,5,5,5,5,4,4,2,1,3,4
347,31,1,1,3.23,1,1,2,2,1,1,1,2,1,1,5,5,4,3,3
348,30,1,2,3.48,5,5,5,5,5,3,5,3,2,5,4,3,4,5,2
349,33,0,1,3.14,2,3,4,4,2,1,3,3,2,1,4,5,5,3,4
350,33,0,1,2.71,1,1,1,1,1,2,1,1,4,2,2,3,2,1,1
